id,scrapedrecipeguid,name,modelledname
6464,565c4c00-674b-4692-a572-0faececa7ed6,4 tbsp mayonnaise,NULL
6465,565c4c00-674b-4692-a572-0faececa7ed6,2 tbsp tomato ketchup,NULL
6466,565c4c00-674b-4692-a572-0faececa7ed6,&#188; tsp cayenne pepper,NULL
6467,565c4c00-674b-4692-a572-0faececa7ed6,juice 1 lemon,NULL
6468,d2be7097-fd94-4e7c-9181-f3c77f2fa37b,"1 medium onion, roughly chopped",NULL
6469,d2be7097-fd94-4e7c-9181-f3c77f2fa37b,2 tbsp tomato ketchup,NULL
6470,d2be7097-fd94-4e7c-9181-f3c77f2fa37b,1 tbsp oyster sauce,NULL
6471,d2be7097-fd94-4e7c-9181-f3c77f2fa37b,"1kg sausagemeat, or meat squeezed from 16 large sausages",NULL
6472,d2be7097-fd94-4e7c-9181-f3c77f2fa37b,1 egg yolk,NULL
6473,d2be7097-fd94-4e7c-9181-f3c77f2fa37b,"25g pack flat-leaf parsley, leaves chopped",NULL
6474,d2be7097-fd94-4e7c-9181-f3c77f2fa37b,8 slices melting cheese (we used havarti),NULL
6475,d2be7097-fd94-4e7c-9181-f3c77f2fa37b,8 grilled rashers streaky smoked bacon,NULL
6476,d2be7097-fd94-4e7c-9181-f3c77f2fa37b,"8 ciabatta buns, halved",NULL
6477,d2be7097-fd94-4e7c-9181-f3c77f2fa37b,tomato relish,NULL
6478,a6bdcd61-abb7-4de0-a07b-144dd1427a2d,"1 butternut squash, peeled, deseeded and diced",NULL
6479,a6bdcd61-abb7-4de0-a07b-144dd1427a2d,2 tsp olive oil,NULL
6480,a6bdcd61-abb7-4de0-a07b-144dd1427a2d,50g wild and brown rice,NULL
6481,a6bdcd61-abb7-4de0-a07b-144dd1427a2d,50g Puy lentils,NULL
6482,a6bdcd61-abb7-4de0-a07b-144dd1427a2d,"1 head broccoli, cut into florets",NULL
6483,a6bdcd61-abb7-4de0-a07b-144dd1427a2d,50g dried cranberries,NULL
6484,a6bdcd61-abb7-4de0-a07b-144dd1427a2d,25g pumpkin seeds,NULL
6485,a6bdcd61-abb7-4de0-a07b-144dd1427a2d,juice 1 lemon,NULL
6486,26134793-e222-4d4e-87b7-a710a29e81d8,150g ricotta,NULL
6487,26134793-e222-4d4e-87b7-a710a29e81d8,"3 roughly chopped spring onion, plus extra to serve",NULL
6488,26134793-e222-4d4e-87b7-a710a29e81d8,juice and zest &#189; lemon,NULL
6489,26134793-e222-4d4e-87b7-a710a29e81d8,"50g soured cream, cr&#232;me fra&#238;che or natural yogurt",NULL
6490,26134793-e222-4d4e-87b7-a710a29e81d8,"cucumber sticks or toast, to serve",NULL
6491,80378a81-e3e7-41d0-b310-762b558a4d70,"1 small butternut squash, deseeded and cubed",NULL
6492,80378a81-e3e7-41d0-b310-762b558a4d70,2 tbsp olive oil,NULL
6493,80378a81-e3e7-41d0-b310-762b558a4d70,"1 large onion, thinly sliced",NULL
6494,80378a81-e3e7-41d0-b310-762b558a4d70,"1 garlic clove, chopped",NULL
6495,80378a81-e3e7-41d0-b310-762b558a4d70,1 tbsp finely chopped ginger,NULL
6496,80378a81-e3e7-41d0-b310-762b558a4d70,1 tsp ras-el-hanout or Middle Eastern spice mix,NULL
6497,80378a81-e3e7-41d0-b310-762b558a4d70,200g quinoa,NULL
6498,80378a81-e3e7-41d0-b310-762b558a4d70,"5 prune, roughly chopped",NULL
6499,80378a81-e3e7-41d0-b310-762b558a4d70,juice 1 lemon,NULL
6500,80378a81-e3e7-41d0-b310-762b558a4d70,600ml vegetable stock,NULL
6501,80378a81-e3e7-41d0-b310-762b558a4d70,seeds from 1 pomegranate,NULL
6502,80378a81-e3e7-41d0-b310-762b558a4d70,small handful mint leaves,NULL
6503,9483c898-c56e-4339-a09e-2718ac83a0d9,"1.2kg sweet potato, peeled and cut into biggish chunks",NULL
6504,9483c898-c56e-4339-a09e-2718ac83a0d9,1 tbsp olive oil,NULL
6505,9483c898-c56e-4339-a09e-2718ac83a0d9,"2 shallot (or half a small red onion), finely chopped",NULL
6506,9483c898-c56e-4339-a09e-2718ac83a0d9,"4 spring onion, finely sliced",NULL
6507,9483c898-c56e-4339-a09e-2718ac83a0d9,"small bunch chives, snipped into quarters or use mini ones",NULL
6508,9483c898-c56e-4339-a09e-2718ac83a0d9,5 tbsp sherry vinegar,NULL
6509,9483c898-c56e-4339-a09e-2718ac83a0d9,2 tbsp extra-virgin olive oil,NULL
6510,9483c898-c56e-4339-a09e-2718ac83a0d9,2 tbsp honey,NULL
6511,60bb7136-2add-48d9-a080-14ab4dbd1c01,1 large or 2 small cooked beetroot,NULL
6512,60bb7136-2add-48d9-a080-14ab4dbd1c01,25g soured cream,NULL
6513,60bb7136-2add-48d9-a080-14ab4dbd1c01,juice and zest &#189; lemon,NULL
6514,60bb7136-2add-48d9-a080-14ab4dbd1c01,"1 shallot, thinly sliced",NULL
6515,60bb7136-2add-48d9-a080-14ab4dbd1c01,2 slices toast,NULL
6516,60bb7136-2add-48d9-a080-14ab4dbd1c01,1 smoked mackerel fillet,NULL
6517,60bb7136-2add-48d9-a080-14ab4dbd1c01,a little chopped dill,NULL
6518,7ebc3452-ea84-4cec-ba51-8a5ca81abfc4,"4 carrot, peeled and sliced on the diagonal",NULL
6519,7ebc3452-ea84-4cec-ba51-8a5ca81abfc4,"600g pork fillet, cut into bite-sized pieces",NULL
6520,7ebc3452-ea84-4cec-ba51-8a5ca81abfc4,"1 large red pepper, seeded and chopped into large chunks",NULL
6521,7ebc3452-ea84-4cec-ba51-8a5ca81abfc4,1 tbsp Chinese five-spice powder,NULL
6522,7ebc3452-ea84-4cec-ba51-8a5ca81abfc4,2 tbsp soy sauce,NULL
6523,7ebc3452-ea84-4cec-ba51-8a5ca81abfc4,"1 chicken or vegetable stock cube, crumbled",NULL
6524,7ebc3452-ea84-4cec-ba51-8a5ca81abfc4,"1 bunch spring onion, white part left whole, green tops finely sliced",NULL
6525,7ebc3452-ea84-4cec-ba51-8a5ca81abfc4,boiled rice or noodles to serve,NULL
6526,a8047d52-785a-4717-bf68-46b29780bc3c,4 tbsp mango chutney,NULL
6527,a8047d52-785a-4717-bf68-46b29780bc3c,1 bunch spring onions,NULL
6528,a8047d52-785a-4717-bf68-46b29780bc3c,4 tbsp fresh coriander,NULL
6529,a8047d52-785a-4717-bf68-46b29780bc3c,5 tbsp lime juice (about 3 limes),NULL
6530,a8047d52-785a-4717-bf68-46b29780bc3c,8 ready-to-eat poppadoms,NULL
6531,eff38f53-2a3b-45b8-9533-41c9a64448d1,300g pack fish fingers (preferably made with hoki rather than cod),NULL
6532,eff38f53-2a3b-45b8-9533-41c9a64448d1,1 French stick (baguette),NULL
6533,eff38f53-2a3b-45b8-9533-41c9a64448d1,4 or 5 generous tbsp mayonnaise,NULL
6534,eff38f53-2a3b-45b8-9533-41c9a64448d1,"5 lettuce leaves such as cos, halved lengthways",NULL
6535,eff38f53-2a3b-45b8-9533-41c9a64448d1,"1 large shallot or small ordinary or red onion, thinly sliced",NULL
6536,eff38f53-2a3b-45b8-9533-41c9a64448d1,"1 dill cucumber or 4 gherkins, thinly sliced on the diagonal",NULL
6537,1dcf9358-5ec8-4d63-8a6e-3d9826a41625,6 spring onion,NULL
6538,1dcf9358-5ec8-4d63-8a6e-3d9826a41625,2 tbsp sunflower oil,NULL
6539,1dcf9358-5ec8-4d63-8a6e-3d9826a41625,300g bag small broccoli florets,NULL
6540,1dcf9358-5ec8-4d63-8a6e-3d9826a41625,half a 250g packet of thick egg noodle,NULL
6541,1dcf9358-5ec8-4d63-8a6e-3d9826a41625,450g lean pork stir-fry,NULL
6542,1dcf9358-5ec8-4d63-8a6e-3d9826a41625,100g shiitake mushroom or chestnut mushrooms,NULL
6543,1dcf9358-5ec8-4d63-8a6e-3d9826a41625,180g jar Cantonese sweet and spicy stir-fry sauce,NULL
6544,1dcf9358-5ec8-4d63-8a6e-3d9826a41625,300g bag beansprout,NULL
6545,1dcf9358-5ec8-4d63-8a6e-3d9826a41625,handful roasted salted cashew nuts,NULL
6546,30de4114-7b4b-4a74-ad8e-bdad905e7929,125ml extra-virgin olive oil,NULL
6547,30de4114-7b4b-4a74-ad8e-bdad905e7929,25g fresh white breadcrumb,NULL
6548,30de4114-7b4b-4a74-ad8e-bdad905e7929,500g spaghetti,NULL
6549,30de4114-7b4b-4a74-ad8e-bdad905e7929,2 garlic clove,NULL
6550,13895140-3251-4be4-a1d8-7c2a7073c972,2 tbsp olive oil,NULL
6551,13895140-3251-4be4-a1d8-7c2a7073c972,3 smoked back bacon rashers,NULL
6552,13895140-3251-4be4-a1d8-7c2a7073c972,"250g green vegetables eg asparagus and broccoli, cut into bite-sized pieces",NULL
6553,13895140-3251-4be4-a1d8-7c2a7073c972,"2 garlic clove, finely sliced",NULL
6554,13895140-3251-4be4-a1d8-7c2a7073c972,"6 spring onion, trimmed, halved lengthways and quartered",NULL
6555,13895140-3251-4be4-a1d8-7c2a7073c972,150g pack Amoy Straight to Wok new noodle,NULL
6556,13895140-3251-4be4-a1d8-7c2a7073c972,"soy sauce, to serve",NULL
6557,70910a8e-7ea4-4385-8aa4-28490d8b47ea,50g fat green mild chilli (about 3 large ones),NULL
6558,70910a8e-7ea4-4385-8aa4-28490d8b47ea,3 large garlic clove,NULL
6559,70910a8e-7ea4-4385-8aa4-28490d8b47ea,5cm piece of fresh root ginger,NULL
6560,70910a8e-7ea4-4385-8aa4-28490d8b47ea,a bunch of fresh coriander,NULL
6561,70910a8e-7ea4-4385-8aa4-28490d8b47ea,200g carton of full-fat Greek yogurt,NULL
6562,70910a8e-7ea4-4385-8aa4-28490d8b47ea,2 medium onion,NULL
6563,70910a8e-7ea4-4385-8aa4-28490d8b47ea,8 medium bone-in chicken thighs (total weight about 800g-1kg/1lb 12oz-2lb 4oz),NULL
6564,70910a8e-7ea4-4385-8aa4-28490d8b47ea,2 tbsp groundnut or corn oil,NULL
6565,70910a8e-7ea4-4385-8aa4-28490d8b47ea,2 tsp fennel seed,NULL
6566,70910a8e-7ea4-4385-8aa4-28490d8b47ea,1 tsp cumin seeds,NULL
6567,70910a8e-7ea4-4385-8aa4-28490d8b47ea,a good knob of butter,NULL
6568,70910a8e-7ea4-4385-8aa4-28490d8b47ea,"Chilli-ginger garnish, to serve (see below)",NULL
6569,6ce1860a-571c-4edf-86ca-bf907c2e0476,"3 red peppers, halved and deseeded",NULL
6570,6ce1860a-571c-4edf-86ca-bf907c2e0476,"2 yellow peppers, halved and deseeded",NULL
6571,6ce1860a-571c-4edf-86ca-bf907c2e0476,6 tbsp olive oil,NULL
6572,6ce1860a-571c-4edf-86ca-bf907c2e0476,"1 aubergine, sliced into long strips",NULL
6573,6ce1860a-571c-4edf-86ca-bf907c2e0476,"2 courgettes, sliced into long strips",NULL
6574,6ce1860a-571c-4edf-86ca-bf907c2e0476,800g bloomer loaf,NULL
6575,6ce1860a-571c-4edf-86ca-bf907c2e0476,"1 red onion, sliced",NULL
6576,6ce1860a-571c-4edf-86ca-bf907c2e0476,2 tbsp good-quality fresh vegetarian pesto,NULL
6577,6ce1860a-571c-4edf-86ca-bf907c2e0476,handful basil leaves,NULL
6578,8fe3a572-f58f-4329-bd11-dd3d7a0da426,"1 large cauliflower (about 1.3kg/3lb), stalks discarded and florets chopped",NULL
6579,8fe3a572-f58f-4329-bd11-dd3d7a0da426,"1 large potato, peeled and chopped into large chunks",NULL
6580,8fe3a572-f58f-4329-bd11-dd3d7a0da426,"1 medium onion, chopped",NULL
6581,8fe3a572-f58f-4329-bd11-dd3d7a0da426,25g butter,NULL
6582,8fe3a572-f58f-4329-bd11-dd3d7a0da426,4 tbsp olive oil,NULL
6583,8fe3a572-f58f-4329-bd11-dd3d7a0da426,1.2l light chicken or vegetable stock,NULL
6584,8fe3a572-f58f-4329-bd11-dd3d7a0da426,600ml full-fat milk,NULL
6585,8fe3a572-f58f-4329-bd11-dd3d7a0da426,142ml carton double cream,NULL
6586,8fe3a572-f58f-4329-bd11-dd3d7a0da426,"250g wild mushroom &#8211; choose from ceps, girolles (chanterelles), morels (either a mixture or just one type)",NULL
6587,8fe3a572-f58f-4329-bd11-dd3d7a0da426,1-2 tbsp finely snipped chives,NULL
6588,3715a919-f832-448c-81e0-82d62938f367,1.3-1&#189; kg/3-3&#189;lb corn-fed chicken,NULL
6589,3715a919-f832-448c-81e0-82d62938f367,1 tbsp salt,NULL
6590,3715a919-f832-448c-81e0-82d62938f367,6 slices fresh root ginger,NULL
6591,3715a919-f832-448c-81e0-82d62938f367,6 whole spring onion,NULL
6592,3715a919-f832-448c-81e0-82d62938f367,"shredded spring onion, to garnish",NULL
6593,3715a919-f832-448c-81e0-82d62938f367,"6 tbsp finely chopped spring onions, white parts only",NULL
6594,3715a919-f832-448c-81e0-82d62938f367,1&#189;tbsp finely chopped fresh root ginger,NULL
6595,3715a919-f832-448c-81e0-82d62938f367,2 tsp Maldon sea salt,NULL
6596,3715a919-f832-448c-81e0-82d62938f367,5 tbsp groundnut oil,NULL
6597,f012d67f-d026-4381-8bbe-d8ae31799a6e,50g pudding rice,NULL
6598,f012d67f-d026-4381-8bbe-d8ae31799a6e,500ml carton long-life vanilla-flavoured sweetened soya milk alternative (we used UHT Provamel organic vanilla),NULL
6599,f012d67f-d026-4381-8bbe-d8ae31799a6e,"50g ready-to-eat dried apricots, chopped into small pieces",NULL
6600,f012d67f-d026-4381-8bbe-d8ae31799a6e,1 tbsp golden caster sugar,NULL
6601,f012d67f-d026-4381-8bbe-d8ae31799a6e,250ml carton soya single cream alternative (we used UHT Provamel Soya Dream),NULL
6602,f012d67f-d026-4381-8bbe-d8ae31799a6e,8 tbsp apricot compote or 4 tbsp apricot conserve,NULL
6603,f012d67f-d026-4381-8bbe-d8ae31799a6e,"1 tbsp shelled pistachio nuts, chopped",NULL
6604,e8b8bd1b-5f74-4b33-b838-5df3a305915e,5 bananas,NULL
6605,e8b8bd1b-5f74-4b33-b838-5df3a305915e,350g frozen or fresh raspberries,NULL
6606,e8b8bd1b-5f74-4b33-b838-5df3a305915e,250g gingernut biscuits,NULL
6607,e8b8bd1b-5f74-4b33-b838-5df3a305915e,140g demerara sugar,NULL
6608,e8b8bd1b-5f74-4b33-b838-5df3a305915e,"140g butter, melted",NULL
6609,ae9557b2-6d13-450d-93a0-3f00a0e4d338,900g King Edward or Maris Piper potatoes,NULL
6610,ae9557b2-6d13-450d-93a0-3f00a0e4d338,85g butter,NULL
6611,ae9557b2-6d13-450d-93a0-3f00a0e4d338,100ml whipping cream,NULL
6612,ae9557b2-6d13-450d-93a0-3f00a0e4d338,3 tbsp milk,NULL
6613,ae9557b2-6d13-450d-93a0-3f00a0e4d338,2-3 tbsp grainy mustard,NULL
6614,515ed62d-02cf-4ab2-8a28-5247198ca4c5,"4 small aubergines, sliced into 1cm/&#189;in thick rounds",NULL
6615,515ed62d-02cf-4ab2-8a28-5247198ca4c5,2 tbsp olive oil,NULL
6616,515ed62d-02cf-4ab2-8a28-5247198ca4c5,150g pot natural yogurt,NULL
6617,515ed62d-02cf-4ab2-8a28-5247198ca4c5,juice of &#189; lemon,NULL
6618,515ed62d-02cf-4ab2-8a28-5247198ca4c5,"2 garlic cloves, crushed",NULL
6619,515ed62d-02cf-4ab2-8a28-5247198ca4c5,"small bunch mint leaves, coarsely chopped",NULL
6620,d6cb8d0e-53ea-41a7-94f5-599613c3b42f,2 tsp curry paste,NULL
6621,d6cb8d0e-53ea-41a7-94f5-599613c3b42f,"410g can green lentils, drained and rinsed",NULL
6622,d6cb8d0e-53ea-41a7-94f5-599613c3b42f,"2 salmon fillets, about 175g/6oz each",NULL
6623,d6cb8d0e-53ea-41a7-94f5-599613c3b42f,3 tbsp olive oil,NULL
6624,d6cb8d0e-53ea-41a7-94f5-599613c3b42f,juice of 1 lemon,NULL
6625,d6cb8d0e-53ea-41a7-94f5-599613c3b42f,2 large handfuls baby spinach,NULL
6626,059337b5-087a-4713-85c7-917ac9aa4e26,"1 peeled, sliced banana",NULL
6627,059337b5-087a-4713-85c7-917ac9aa4e26,250ml soya milk,NULL
6628,059337b5-087a-4713-85c7-917ac9aa4e26,1 tsp honey,NULL
6629,059337b5-087a-4713-85c7-917ac9aa4e26,a little grated nutmeg,NULL
6630,059337b5-087a-4713-85c7-917ac9aa4e26,"2 tsp chopped hazelnuts, to serve",NULL
6631,1d1195c0-9f74-439c-9a34-bafb9f114c0b,3 large parsnips,NULL
6632,1d1195c0-9f74-439c-9a34-bafb9f114c0b,4 large potatoes,NULL
6633,1d1195c0-9f74-439c-9a34-bafb9f114c0b,"4 onions, finely sliced",NULL
6634,1d1195c0-9f74-439c-9a34-bafb9f114c0b,"175g Irish St Gall cheese, mature cheddar or gruyere, grated",NULL
6635,1d1195c0-9f74-439c-9a34-bafb9f114c0b,600ml double cream,NULL
6636,dbadfccf-401a-432d-9777-5661a188be3f,"1 red onion, cut into wedges",NULL
6637,dbadfccf-401a-432d-9777-5661a188be3f,"2 courgette, thickly sliced",NULL
6638,dbadfccf-401a-432d-9777-5661a188be3f,"1 red onion, seeded and cut into large chunks",NULL
6639,dbadfccf-401a-432d-9777-5661a188be3f,"375g ripe tomato, halved",NULL
6640,dbadfccf-401a-432d-9777-5661a188be3f,5 tbsp olive oil,NULL
6641,dbadfccf-401a-432d-9777-5661a188be3f,juice of half lemon,NULL
6642,dbadfccf-401a-432d-9777-5661a188be3f,"3 tbsp chopped fresh mixed herbs (such as chives, parsley and mint) or 3 tbsp parsley",NULL
6643,dbadfccf-401a-432d-9777-5661a188be3f,"2 x 400g cans chickpeas, drained",NULL
6644,dbadfccf-401a-432d-9777-5661a188be3f,"100g feta cheese, cut into cubes",NULL
6645,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"large bunch basil, leaves and stalks torn",NULL
6646,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"3 garlic cloves, roughly chopped",NULL
6647,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"3 tbsp pine nuts, toasted",NULL
6648,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,olive oil,NULL
6649,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"50g Parmesan, finely grated",NULL
6650,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"6 garlic cloves, peeled",NULL
6651,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,1.4l hot chicken stock,NULL
6652,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,85g unsalted butter,NULL
6653,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"400g/14oz piece pumpkin (unpeeled weight), peeled, seeded and cut into 1cm cubes",NULL
6654,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,2 tbsp olive oil,NULL
6655,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"1 small onion, finely chopped",NULL
6656,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,400g arborio rice,NULL
6657,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"100g pecorino, finely grated",NULL
6658,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"50g Parmesan, finely grated",NULL
6659,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"50g shallots, finely chopped",NULL
6660,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"100g plain flour, seasoned with salt and pepper",NULL
6661,1c8c994f-bc97-40e0-91a3-9ba428e48cd7,"vegetable oil, for shallow frying",NULL
6662,79c4dd8e-d7f8-4ab5-acbd-c4820ac228a9,85g unsalted butter,NULL
6663,79c4dd8e-d7f8-4ab5-acbd-c4820ac228a9,"1&#189; tbsp each chopped parsley, mint and chives",NULL
6664,79c4dd8e-d7f8-4ab5-acbd-c4820ac228a9,"400g shelled garden peas, about 1&#188;kg/2lbs 12oz in their pods",NULL
6665,79c4dd8e-d7f8-4ab5-acbd-c4820ac228a9,"200g baby carrot, ideally with leaves",NULL
6666,79c4dd8e-d7f8-4ab5-acbd-c4820ac228a9,200g baby or regular sized courgettes,NULL
6667,79c4dd8e-d7f8-4ab5-acbd-c4820ac228a9,200g slim green beans,NULL
6668,79c4dd8e-d7f8-4ab5-acbd-c4820ac228a9,400g tagliatelle,NULL
6669,79c4dd8e-d7f8-4ab5-acbd-c4820ac228a9,splash of olive oil,NULL
6670,79c4dd8e-d7f8-4ab5-acbd-c4820ac228a9,finely grated zest and juice of 1 lemon,NULL
6671,79c4dd8e-d7f8-4ab5-acbd-c4820ac228a9,as much fresh basil as you like,NULL
6672,63274207-d9f2-46ed-a433-7dc63447fdcc,2 medium courgette,NULL
6673,63274207-d9f2-46ed-a433-7dc63447fdcc,1 large red onion,NULL
6674,63274207-d9f2-46ed-a433-7dc63447fdcc,"250g low fat halloumi cheese, cut into 16 chunks (we used Cypressa Halloumi Lite)",NULL
6675,63274207-d9f2-46ed-a433-7dc63447fdcc,16 cherry tomato,NULL
6676,63274207-d9f2-46ed-a433-7dc63447fdcc,1 tbsp olive oil,NULL
6677,63274207-d9f2-46ed-a433-7dc63447fdcc,2 tbsp lemon juice,NULL
6678,63274207-d9f2-46ed-a433-7dc63447fdcc,2 tsp fresh thyme leaves (preferably lemon thyme),NULL
6679,63274207-d9f2-46ed-a433-7dc63447fdcc,1 tsp Dijon mustard,NULL
6680,63274207-d9f2-46ed-a433-7dc63447fdcc,"pitta bread, to serve",NULL
6681,450f762a-f0a5-4b8f-ac4c-931f4e310fcf,"100g skinned hazelnuts, ground",NULL
6682,450f762a-f0a5-4b8f-ac4c-931f4e310fcf,50g semolina or polenta,NULL
6683,450f762a-f0a5-4b8f-ac4c-931f4e310fcf,175g golden caster sugar,NULL
6684,450f762a-f0a5-4b8f-ac4c-931f4e310fcf,1&#189; tsp baking powder,NULL
6685,450f762a-f0a5-4b8f-ac4c-931f4e310fcf,2 large oranges,NULL
6686,450f762a-f0a5-4b8f-ac4c-931f4e310fcf,4 medium eggs,NULL
6687,450f762a-f0a5-4b8f-ac4c-931f4e310fcf,200ml light olive oil,NULL
6688,450f762a-f0a5-4b8f-ac4c-931f4e310fcf,generous pinch saffron threads,NULL
6689,450f762a-f0a5-4b8f-ac4c-931f4e310fcf,85g icing sugar,NULL
6690,450f762a-f0a5-4b8f-ac4c-931f4e310fcf,"Greek yogurt or cr&#232;me fra&#238;che and orange segments to serve, optional",NULL
6691,d00470d1-4152-436c-8f75-a84b343108c6,200g strong white bread flour,NULL
6692,d00470d1-4152-436c-8f75-a84b343108c6,1 tsp salt,NULL
6693,d00470d1-4152-436c-8f75-a84b343108c6,2 tsp easy blend dried yeast,NULL
6694,d00470d1-4152-436c-8f75-a84b343108c6,150ml warm water,NULL
6695,d00470d1-4152-436c-8f75-a84b343108c6,1 tbsp olive oil,NULL
6696,d00470d1-4152-436c-8f75-a84b343108c6,"4 tbsp olive oil, plus extra for drizzling",NULL
6697,d00470d1-4152-436c-8f75-a84b343108c6,"1kg onion, thinly sliced",NULL
6698,d00470d1-4152-436c-8f75-a84b343108c6,a few sprigs of thyme,NULL
6699,d00470d1-4152-436c-8f75-a84b343108c6,"2 tomato, skinned and chopped",NULL
6700,d00470d1-4152-436c-8f75-a84b343108c6,"2 x 80g cans anchovy fillets, drained, fat ones halved lengthways",NULL
6701,d00470d1-4152-436c-8f75-a84b343108c6,a handful of black olives,NULL
6702,58e0ccfa-ca3e-434a-9f33-70a2f4b4f9b8,"1&#189; kg new potato, halved if large",NULL
6703,58e0ccfa-ca3e-434a-9f33-70a2f4b4f9b8,3 tbsp olive oil,NULL
6704,58e0ccfa-ca3e-434a-9f33-70a2f4b4f9b8,1 tsp paprika,NULL
6705,58e0ccfa-ca3e-434a-9f33-70a2f4b4f9b8,"200ml tub cr&#232;me fra&#238;che, full or half fat",NULL
6706,58e0ccfa-ca3e-434a-9f33-70a2f4b4f9b8,1 tbsp sweet chilli sauce,NULL
6707,7ceec11d-52db-447d-859d-6593b2d95cd9,100g Thai fragrant rice,NULL
6708,7ceec11d-52db-447d-859d-6593b2d95cd9,1.2l chicken stock or vegetable stock,NULL
6709,7ceec11d-52db-447d-859d-6593b2d95cd9,"1 stalk of lemongrass, thinly sliced",NULL
6710,7ceec11d-52db-447d-859d-6593b2d95cd9,1 tbsp finely chopped galangal or root ginger,NULL
6711,7ceec11d-52db-447d-859d-6593b2d95cd9,"4 fresh or freeze-dried kaffir lime leaf, chopped or crumbled",NULL
6712,7ceec11d-52db-447d-859d-6593b2d95cd9,"2 red chilli, deseeded and finely chopped",NULL
6713,7ceec11d-52db-447d-859d-6593b2d95cd9,"250g skinless boneless chicken breast, thinly sliced",NULL
6714,7ceec11d-52db-447d-859d-6593b2d95cd9,"175g chestnut mushroom, sliced",NULL
6715,7ceec11d-52db-447d-859d-6593b2d95cd9,"200g cherry tomato, halved",NULL
6716,7ceec11d-52db-447d-859d-6593b2d95cd9,1 tbsp lime juice,NULL
6717,7ceec11d-52db-447d-859d-6593b2d95cd9,2 tbsp fish sauce (nam pla),NULL
6718,7ceec11d-52db-447d-859d-6593b2d95cd9,200ml carton coconut cream,NULL
6719,7ceec11d-52db-447d-859d-6593b2d95cd9,"a handful of fresh coriander, chopped",NULL
6720,dbaac375-4d5b-461f-b080-f114a4de2177,200g caster sugar,NULL
6721,dbaac375-4d5b-461f-b080-f114a4de2177,200g softened butter,NULL
6722,dbaac375-4d5b-461f-b080-f114a4de2177,"4 egg, beaten",NULL
6723,dbaac375-4d5b-461f-b080-f114a4de2177,200g self-raising flour,NULL
6724,dbaac375-4d5b-461f-b080-f114a4de2177,1 tsp baking powder,NULL
6725,dbaac375-4d5b-461f-b080-f114a4de2177,2 tbsp milk,NULL
6726,dbaac375-4d5b-461f-b080-f114a4de2177,150g blueberries,NULL
6727,dbaac375-4d5b-461f-b080-f114a4de2177,50g caster sugar,NULL
6728,dbaac375-4d5b-461f-b080-f114a4de2177,227g pot clotted cream,NULL
6729,dbaac375-4d5b-461f-b080-f114a4de2177,4 tbsp blueberry conserve,NULL
6730,dbaac375-4d5b-461f-b080-f114a4de2177,"a handful of blueberries, to decorate",NULL
6731,98327fbf-ac76-4ffc-926c-9a7e69d41090,"400g can chickpea, washed and drained",NULL
6732,98327fbf-ac76-4ffc-926c-9a7e69d41090,juice &#189; lemon,NULL
6733,98327fbf-ac76-4ffc-926c-9a7e69d41090,1 garlic clove,NULL
6734,98327fbf-ac76-4ffc-926c-9a7e69d41090,2 tbsp olive oil,NULL
6735,98327fbf-ac76-4ffc-926c-9a7e69d41090,2 tbsp tahini paste,NULL
6736,c6c85348-690a-4c37-a7b9-4858a0b5a037,1 ripe avocado,NULL
6737,c6c85348-690a-4c37-a7b9-4858a0b5a037,"2 ripe plum tomato, each chopped into 6",NULL
6738,c6c85348-690a-4c37-a7b9-4858a0b5a037,"1 small red onion, finely sliced",NULL
6739,c6c85348-690a-4c37-a7b9-4858a0b5a037,"3 tbsp olive oil, plus some for drizzling",NULL
6740,c6c85348-690a-4c37-a7b9-4858a0b5a037,juice half a lemon or 1 lime,NULL
6741,c6c85348-690a-4c37-a7b9-4858a0b5a037,"small bunch coriander, leaves only",NULL
6742,c6c85348-690a-4c37-a7b9-4858a0b5a037,"2 x 140g/6oz fish fillets, such as Pacific cod or halibut, skin on",NULL
6743,da6acd3b-06b3-4a74-acac-0ec9a9fb05b9,6 large just ripe but firm peach,NULL
6744,da6acd3b-06b3-4a74-acac-0ec9a9fb05b9,15 loose (or 9 paper-wrapped) amaretti biscuit,NULL
6745,da6acd3b-06b3-4a74-acac-0ec9a9fb05b9,scant 50g blanched almond,NULL
6746,da6acd3b-06b3-4a74-acac-0ec9a9fb05b9,"85g dark chocolate (minimum 60% cocoa solids), roughly broken",NULL
6747,da6acd3b-06b3-4a74-acac-0ec9a9fb05b9,"1 large egg, beaten",NULL
